State Code,County Code,Site Num,Parameter Code,POC,Latitude,Longitude,Datum,Parameter Name,Sample Duration,Pollutant Standard,Date Local,Units of Measure,Event Type,Observation Count,Observation Percent,Arithmetic Mean,1st Max Value,1st Max Hour,AQI,Method Code,Method Name,Local Site Name,Address,State Name,County Name,City Name,CBSA Name,Date of Last Change
6,37,1103,88101,1,34.06659,-118.22688,WGS84,PM2.5 - Local Conditions,24 HOUR,PM25 24-hour 2012,12/3/17,Micrograms/cubic meter (LC),None,1,100,19.7,19.7,0,71,145,R & P Model 2025 PM-2.5 Sequential Air Sampler w/VSCC - Gravimetric,Los Angeles-North Main Street,"1630 N MAIN ST, LOS ANGELES",California,Los Angeles,Los Angeles,"Los Angeles-Long Beach-Anaheim, CA",5/18/24
6,37,1103,88101,1,34.06659,-118.22688,WGS84,PM2.5 - Local Conditions,24 HOUR,PM25 24-hour 2012,12/4/17,Micrograms/cubic meter (LC),None,1,100,11.2,11.2,0,55,145,R & P Model 2025 PM-2.5 Sequential Air Sampler w/VSCC - Gravimetric,Los Angeles-North Main Street,"1630 N MAIN ST, LOS ANGELES",California,Los Angeles,Los Angeles,"Los Angeles-Long Beach-Anaheim, CA",5/18/24
6,37,1103,88101,1,34.06659,-118.22688,WGS84,PM2.5 - Local Conditions,24 HOUR,PM25 24-hour 2012,12/5/17,Micrograms/cubic meter (LC),None,1,100,8.2,8.2,0,46,145,R & P Model 2025 PM-2.5 Sequential Air Sampler w/VSCC - Gravimetric,Los Angeles-North Main Street,"1630 N MAIN ST, LOS ANGELES",California,Los Angeles,Los Angeles,"Los Angeles-Long Beach-Anaheim, CA",5/18/24
6,37,1103,88101,1,34.06659,-118.22688,WGS84,PM2.5 - Local Conditions,24 HOUR,PM25 24-hour 2012,12/6/17,Micrograms/cubic meter (LC),None,1,100,20.9,20.9,0,73,145,R & P Model 2025 PM-2.5 Sequential Air Sampler w/VSCC - Gravimetric,Los Angeles-North Main Street,"1630 N MAIN ST, LOS ANGELES",California,Los Angeles,Los Angeles,"Los Angeles-Long Beach-Anaheim, CA",5/18/24
6,37,1103,88101,1,34.06659,-118.22688,WGS84,PM2.5 - Local Conditions,24 HOUR,PM25 24-hour 2012,12/7/17,Micrograms/cubic meter (LC),None,1,100,10.2,10.2,0,53,145,R & P Model 2025 PM-2.5 Sequential Air Sampler w/VSCC - Gravimetric,Los Angeles-North Main Street,"1630 N MAIN ST, LOS ANGELES",California,Los Angeles,Los Angeles,"Los Angeles-Long Beach-Anaheim, CA",5/18/24
6,37,1103,88101,1,34.06659,-118.22688,WGS84,PM2.5 - Local Conditions,24 HOUR,PM25 24-hour 2012,12/8/17,Micrograms/cubic meter (LC),None,1,100,11.2,11.2,0,55,145,R & P Model 2025 PM-2.5 Sequential Air Sampler w/VSCC - Gravimetric,Los Angeles-North Main Street,"1630 N MAIN ST, LOS ANGELES",California,Los Angeles,Los Angeles,"Los Angeles-Long Beach-Anaheim, CA",5/18/24
6,37,1103,88101,1,34.06659,-118.22688,WGS84,PM2.5 - Local Conditions,24 HOUR,PM25 24-hour 2012,12/9/17,Micrograms/cubic meter (LC),None,1,100,10.6,10.6,0,54,145,R & P Model 2025 PM-2.5 Sequential Air Sampler w/VSCC - Gravimetric,Los Angeles-North Main Street,"1630 N MAIN ST, LOS ANGELES",California,Los Angeles,Los Angeles,"Los Angeles-Long Beach-Anaheim, CA",5/18/24
6,37,1103,88101,1,34.06659,-118.22688,WGS84,PM2.5 - Local Conditions,24 HOUR,PM25 24-hour 2012,12/10/17,Micrograms/cubic meter (LC),None,1,100,9.1,9.1,0,51,145,R & P Model 2025 PM-2.5 Sequential Air Sampler w/VSCC - Gravimetric,Los Angeles-North Main Street,"1630 N MAIN ST, LOS ANGELES",California,Los Angeles,Los Angeles,"Los Angeles-Long Beach-Anaheim, CA",5/18/24
6,37,1103,88101,1,34.06659,-118.22688,WGS84,PM2.5 - Local Conditions,24 HOUR,PM25 24-hour 2012,12/11/17,Micrograms/cubic meter (LC),None,1,100,9.8,9.8,0,52,145,R & P Model 2025 PM-2.5 Sequential Air Sampler w/VSCC - Gravimetric,Los Angeles-North Main Street,"1630 N MAIN ST, LOS ANGELES",California,Los Angeles,Los Angeles,"Los Angeles-Long Beach-Anaheim, CA",5/18/24
6,37,1103,88101,1,34.06659,-118.22688,WGS84,PM2.5 - Local Conditions,24 HOUR,PM25 24-hour 2012,12/12/17,Micrograms/cubic meter (LC),None,1,100,10,10,0,53,145,R & P Model 2025 PM-2.5 Sequential Air Sampler w/VSCC - Gravimetric,Los Angeles-North Main Street,"1630 N MAIN ST, LOS ANGELES",California,Los Angeles,Los Angeles,"Los Angeles-Long Beach-Anaheim, CA",5/18/24
